date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:33	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Jan%202023%2011:14:37%20GMT	https://facedev.xyz/robots.txt		(from )
12:14:33	12577/12577	---M--	200	added ('OK')	text/html	etag:W/%223121-3szgunPtnRxoJ4Ms4ElqT1vG3NU%22	https://facedev.xyz/	C:/Meine%20Webseiten/sssss/facedev.xyz/index.html	(from )
12:14:34	17693/17693	---M--	200	added ('OK')	text/css	etag:W/%22451d-18535bfebba%22	https://facedev.xyz/static/css/main.css	C:/Meine%20Webseiten/sssss/facedev.xyz/static/css/main.css	(from https://facedev.xyz/)
12:14:34	2402/2402	---M--	200	added ('OK')	text/css	etag:W/%22962-1849ab69fb9%22	https://facedev.xyz/static/css/navbar.css	C:/Meine%20Webseiten/sssss/facedev.xyz/static/css/navbar.css	(from https://facedev.xyz/)
12:14:35	451172/451172	---MCZ	200	added ('OK')	text/css	etag:W/%22cc700e63db1951a6e812d741e55de6be%22	https://pro.fontawesome.com/releases/v6.0.0-beta2/css/all.css	C:/Meine%20Webseiten/sssss/pro.fontawesome.com/releases/v6.0.0-beta2/css/all.css	(from https://facedev.xyz/)
12:14:35	16393/16393	---MCZ	200	added ('OK')	application/javascript	etag:%224009-olFGSVMkRiWLiX8td2OR9arAZMQ%22	https://unpkg.com/scrollreveal@4.0.0/dist/scrollreveal.min.js	C:/Meine%20Webseiten/sssss/unpkg.com/scrollreveal@4.0.0/dist/scrollreveal.min.js	(from https://facedev.xyz/)
12:14:36	16076/16076	---M--	200	added ('OK')	image/png	etag:W/%223ecc-1849ab69fbd%22	https://facedev.xyz/static/img/nodejs.png	C:/Meine%20Webseiten/sssss/facedev.xyz/static/img/nodejs.png	(from https://facedev.xyz/)
12:14:36	21159/21159	---M--	200	added ('OK')	image/png	etag:%2252a7-5b7093a583040%22	https://icons.veryicon.com/png/o/education-technology/artificial-intelligence-2/nlp-natural-language-processing.png	C:/Meine%20Webseiten/sssss/icons.veryicon.com/png/o/education-technology/artificial-intelligence-2/nlp-natural-language-processing.png	(from https://facedev.xyz/)
12:14:37	23059/23059	---M--	200	added ('OK')	image/png	etag:W/%225a13-1849ab69fbd%22	https://facedev.xyz/static/img/js%20icon.png	C:/Meine%20Webseiten/sssss/facedev.xyz/static/img/js%20icon.png	(from https://facedev.xyz/)
12:14:37	73801/73801	---M--	200	added ('OK')	image/png	etag:W/%2212049-1849ab69fbd%22	https://facedev.xyz/static/img/electron%20icon.png	C:/Meine%20Webseiten/sssss/facedev.xyz/static/img/electron%20icon.png	(from https://facedev.xyz/)
12:14:38	162/162	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Jan%202023%2011:14:41%20GMT	https://facedev.xyz/static/img/download.svg	C:/Meine%20Webseiten/sssss/facedev.xyz/static/img/download.8.delayed	(from https://facedev.xyz/)
12:14:38	5417/5417	---M-Z	200	added ('OK')	application/javascript	etag:W/%221529-tsiph/XLi0qpni/MV2m66lAiihw%22	https://cdn.jsdelivr.net/npm/@srexi/purecounterjs/dist/purecounter_vanilla.js	C:/Meine%20Webseiten/sssss/cdn.jsdelivr.net/npm/@srexi/purecounterjs/dist/purecounter_vanilla.js	(from https://facedev.xyz/)
12:14:39	10143/10143	---M--	200	added ('OK')	application/javascript	etag:W/%22279f-1849ab69fbd%22	https://facedev.xyz/static/js/script.js	C:/Meine%20Webseiten/sssss/facedev.xyz/static/js/script.js	(from https://facedev.xyz/)
12:14:40	7516/7516	---M--	200	added ('OK')	font/woff	etag:W/%221d5c-1849ab69fb9%22	https://facedev.xyz/static/font/MatterTRIAL-Medium.woff	C:/Meine%20Webseiten/sssss/facedev.xyz/static/font/MatterTRIAL-Medium.woff	(from https://facedev.xyz/static/css/main.css)
